Brand,Processor,RAM (GB),Storage (GB),GPU,Screen Size (inches),Battery Life (hours),Price (INR)
Dell,Intel i3,4,256,Integrated,14.0,11,38000
Lenovo,Intel i3,4,2048,RTX 4090,15.6,5,113000
HP,Ryzen 5,16,1024,RTX 4090,15.6,9,132000
MSI,Ryzen 7,32,512,GTX 1650,16.0,5,144000
Acer,Ryzen 3,4,512,GTX 1650,14.0,8,58000
Dell,Intel i7,16,256,RTX 4090,16.0,5,132000
HP,Intel i9,4,2048,RTX 4070,13.0,11,153000
Lenovo,Intel i3,4,512,RTX 4090,15.6,11,83000
Apple,Ryzen 5,4,1024,Integrated,17.0,11,98000
Lenovo,Intel i5,4,1024,RTX 4060,16.0,12,93000
MSI,Intel i5,4,1024,GTX 1650,17.0,7,83000
Dell,Intel i5,8,2048,RTX 4070,14.0,6,126000
Apple,Intel i7,32,512,RTX 4090,17.0,11,199000
Acer,Intel i7,8,512,RTX 4070,17.0,4,111000
Lenovo,Ryzen 5,16,2048,RTX 4080,17.0,8,147000
Lenovo,Intel i7,8,1024,RTX 3050,16.0,4,111000
Asus,Intel i3,32,256,RTX 4090,13.0,11,134000
Acer,Intel i9,32,1024,RTX 4080,14.0,5,194000
Asus,Ryzen 5,4,2048,GTX 1650,13.0,8,103000
Lenovo,Ryzen 7,32,256,Integrated,17.0,6,124000
Asus,Intel i5,4,256,RTX 4070,14.0,10,83000
MSI,Ryzen 3,8,2048,RTX 4080,17.0,10,116000
Lenovo,Intel i9,16,2048,GTX 1650,16.0,6,162000
MSI,Intel i7,16,512,Integrated,15.6,10,97000
MSI,Intel i3,16,2048,RTX 4090,13.0,8,137000
Asus,Intel i3,16,256,RTX 4080,16.0,5,97000
MSI,Intel i3,8,512,Integrated,16.0,12,51000
Apple,Ryzen 5,32,1024,RTX 4080,13.0,6,189000
Lenovo,Ryzen 9,32,2048,GTX 1650,17.0,4,194000
HP,Ryzen 3,16,2048,Integrated,17.0,12,97000
Asus,Intel i9,4,512,RTX 4080,16.0,10,128000
Lenovo,Intel i7,32,512,Integrated,16.0,5,129000
Dell,Intel i7,32,256,RTX 4080,13.0,4,159000
Asus,Ryzen 5,8,2048,RTX 4090,13.0,7,136000
Acer,Intel i5,16,512,RTX 4080,13.0,11,117000
Lenovo,Intel i5,8,1024,GTX 1650,14.0,6,91000
Lenovo,Intel i3,4,512,RTX 4060,15.6,7,68000
Acer,Ryzen 5,4,256,RTX 4090,13.0,10,93000
Dell,Intel i3,16,1024,Integrated,14.0,6,77000
HP,Intel i9,4,1024,RTX 4060,14.0,9,128000
Lenovo,Ryzen 7,16,512,RTX 4090,17.0,10,137000
Dell,Ryzen 3,4,512,RTX 4090,13.0,8,83000
Lenovo,Ryzen 9,16,256,RTX 4060,13.0,12,137000
Asus,Ryzen 7,8,1024,RTX 4060,16.0,7,116000
Apple,Ryzen 9,32,1024,RTX 3050,13.0,9,209000
Asus,Ryzen 3,4,1024,RTX 4060,14.0,12,78000
